Time (ms),Rod Temperature,Green Cord Temperature,Average Temperature,Shade Openness,Motor Angle,Target Temperature,PID Error,PID Integral,PID Derivative,PID Output
2000.0,28.62,28.75,28.69,1.0,90.0,80.0,51.31,10.0,25.66,3.03
4261.0,28.62,28.75,28.69,1.0,90.0,80.0,51.31,10.0,0.0,2.6
6261.0,28.62,28.5,28.56,1.0,90.0,80.0,51.44,10.0,0.06,2.61
8261.0,28.62,28.75,28.69,1.0,90.0,80.0,51.31,10.0,-0.06,2.6
10261.0,28.62,28.5,28.56,1.0,90.0,80.0,51.44,10.0,0.06,2.61
12261.0,28.62,28.5,28.56,1.0,90.0,80.0,51.44,10.0,0.0,2.61
14261.0,28.62,28.5,28.56,1.0,90.0,80.0,51.44,10.0,0.0,2.61
16261.0,28.62,28.5,28.56,1.0,90.0,80.0,51.44,10.0,0.0,2.61
18262.0,28.62,28.5,28.56,1.0,90.0,80.0,51.44,10.0,0.0,2.61
20262.0,28.62,28.5,28.56,1.0,90.0,80.0,51.44,10.0,0.0,2.61
22262.0,28.56,28.5,28.53,1.0,90.0,80.0,51.47,10.0,0.02,2.61
24262.0,28.62,28.5,28.56,1.0,90.0,80.0,51.44,10.0,-0.02,2.6
26262.0,28.62,28.5,28.56,1.0,90.0,80.0,51.44,10.0,0.0,2.61
28262.0,28.56,28.5,28.53,1.0,90.0,80.0,51.47,10.0,0.02,2.61
30262.0,28.56,28.5,28.53,1.0,90.0,80.0,51.47,10.0,0.0,2.61
32262.0,28.56,28.5,28.53,1.0,90.0,80.0,51.47,10.0,0.0,2.61
34262.0,28.56,28.5,28.53,1.0,90.0,80.0,51.47,10.0,0.0,2.61
36262.0,28.56,28.25,28.41,1.0,90.0,80.0,51.59,10.0,0.06,2.61
38262.0,28.56,28.5,28.53,1.0,90.0,80.0,51.47,10.0,-0.06,2.61
40262.0,28.56,28.5,28.53,1.0,90.0,80.0,51.47,10.0,0.0,2.61
42262.0,28.56,28.75,28.66,1.0,90.0,80.0,51.34,10.0,-0.06,2.6
44262.0,28.56,29.0,28.78,1.0,90.0,80.0,51.22,10.0,-0.06,2.59
46262.0,28.56,29.25,28.91,1.0,90.0,80.0,51.09,10.0,-0.06,2.59
48262.0,28.56,29.5,29.03,1.0,90.0,80.0,50.97,10.0,-0.06,2.58
50262.0,28.5,29.5,29.0,1.0,90.0,80.0,51.0,10.0,0.02,2.58
52262.0,28.5,30.0,29.25,1.0,90.0,80.0,50.75,10.0,-0.12,2.57
54262.0,28.5,30.25,29.37,1.0,90.0,80.0,50.63,10.0,-0.06,2.56
56262.0,28.56,30.25,29.41,1.0,90.0,80.0,50.59,10.0,-0.02,2.56
58262.0,28.5,30.5,29.5,1.0,90.0,80.0,50.5,10.0,-0.05,2.56
60262.0,28.56,30.75,29.66,1.0,90.0,80.0,50.34,10.0,-0.08,2.55
62262.0,28.56,31.0,29.78,1.0,90.0,80.0,50.22,10.0,-0.06,2.54
64262.0,28.62,31.25,29.94,1.0,90.0,80.0,50.06,10.0,-0.08,2.54
66262.0,28.69,32.0,30.34,1.0,90.0,80.0,49.66,10.0,-0.2,2.51
68262.0,28.75,31.75,30.25,1.0,90.0,80.0,49.75,10.0,0.05,2.52
70262.0,28.81,32.0,30.41,1.0,90.0,80.0,49.59,10.0,-0.08,2.51
72262.0,28.94,32.0,30.47,1.0,90.0,80.0,49.53,10.0,-0.03,2.51
74262.0,29.06,32.25,30.66,1.0,90.0,80.0,49.34,10.0,-0.09,2.5
76262.0,29.19,32.25,30.72,1.0,90.0,80.0,49.28,10.0,-0.03,2.5
78262.0,29.25,32.5,30.87,1.0,90.0,80.0,49.13,10.0,-0.08,2.49
80262.0,29.31,32.5,30.91,1.0,90.0,80.0,49.09,10.0,-0.02,2.49
82262.0,29.44,32.75,31.09,1.0,90.0,80.0,48.91,10.0,-0.09,2.48
84262.0,29.5,33.0,31.25,1.0,90.0,80.0,48.75,10.0,-0.08,2.47
86262.0,29.62,33.0,31.31,1.0,90.0,80.0,48.69,10.0,-0.03,2.47
88262.0,29.75,33.0,31.37,1.0,90.0,80.0,48.63,10.0,-0.03,2.46
90262.0,29.87,33.25,31.56,1.0,90.0,80.0,48.44,10.0,-0.09,2.45
92262.0,29.94,33.5,31.72,1.0,90.0,80.0,48.28,10.0,-0.08,2.45
94262.0,30.0,33.5,31.75,1.0,90.0,80.0,48.25,10.0,-0.02,2.45
96262.0,30.12,33.5,31.81,1.0,90.0,80.0,48.19,10.0,-0.03,2.44
98262.0,30.19,33.75,31.97,1.0,90.0,80.0,48.03,10.0,-0.08,2.43
100262.0,30.31,34.0,32.16,1.0,90.0,80.0,47.84,10.0,-0.09,2.42
102262.0,30.37,34.0,32.19,1.0,90.0,80.0,47.81,10.0,-0.02,2.42
104262.0,30.5,34.0,32.25,1.0,90.0,80.0,47.75,10.0,-0.03,2.42
106262.0,30.62,34.25,32.44,1.0,90.0,80.0,47.56,10.0,-0.09,2.41
108262.0,30.69,34.25,32.47,1.0,90.0,80.0,47.53,10.0,-0.02,2.41
110262.0,30.81,34.5,32.66,1.0,90.0,80.0,47.34,10.0,-0.09,2.4
112262.0,30.87,34.5,32.69,1.0,90.0,80.0,47.31,10.0,-0.02,2.4
114262.0,31.0,34.5,32.75,1.0,90.0,80.0,47.25,10.0,-0.03,2.4
116262.0,31.12,34.75,32.94,1.0,90.0,80.0,47.06,10.0,-0.09,2.38
118262.0,31.25,35.0,33.13,1.0,90.0,80.0,46.88,10.0,-0.09,2.38
120262.0,31.37,35.0,33.19,1.0,90.0,80.0,46.81,10.0,-0.03,2.37
122262.0,31.44,35.25,33.34,1.0,90.0,80.0,46.66,10.0,-0.08,2.36
124262.0,31.56,35.25,33.41,1.0,90.0,80.0,46.59,10.0,-0.03,2.36
126262.0,31.69,35.5,33.59,1.0,90.0,80.0,46.41,10.0,-0.09,2.35
128262.0,31.81,35.75,33.78,1.0,90.0,80.0,46.22,10.0,-0.09,2.34
130262.0,31.87,35.75,33.81,1.0,90.0,80.0,46.19,10.0,-0.02,2.34
132262.0,32.0,35.75,33.88,1.0,90.0,80.0,46.13,10.0,-0.03,2.34
134262.0,32.13,35.75,33.94,1.0,90.0,80.0,46.06,10.0,-0.03,2.34
136262.0,32.25,36.0,34.13,1.0,90.0,80.0,45.88,10.0,-0.09,2.33
138262.0,32.38,36.0,34.19,1.0,90.0,80.0,45.81,10.0,-0.03,2.32
140262.0,32.44,36.0,34.22,1.0,90.0,80.0,45.78,10.0,-0.02,2.32
142262.0,32.56,36.25,34.41,1.0,90.0,80.0,45.59,10.0,-0.09,2.31
144262.0,32.69,36.25,34.47,1.0,90.0,80.0,45.53,10.0,-0.03,2.31
146262.0,32.81,36.5,34.66,1.0,90.0,80.0,45.34,10.0,-0.09,2.3
148262.0,32.88,36.5,34.69,1.0,90.0,80.0,45.31,10.0,-0.02,2.3
150262.0,33.06,36.75,34.91,1.0,90.0,80.0,45.09,10.0,-0.11,2.29
152262.0,33.13,36.75,34.94,1.0,90.0,80.0,45.06,10.0,-0.02,2.29
154262.0,33.25,37.0,35.13,0.0,10.0,80.0,-266.38,-10.0,-155.72,-15.95
156533.0,33.38,37.25,35.31,1.0,90.0,80.0,44.69,10.0,136.97,4.55
